"instruction","domain","intent","sub_intent","tool","response_mode","entity_product","entity_merchant","entity_brand","entity_category","entity_price_min","entity_price_max","entity_location","entity_radius","requires_memory","requires_rag","requires_recommendation","planner_action","workflow_type","planner_actions","planner_action_count","tool_sequence"
"Check whether bananas are in stock.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Bananas","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Do you have frozen pizza available?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Frozen Pizza","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is whole milk currently available?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Whole Milk","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check if eggs are in stock.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Eggs","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Can I get basmati rice right now?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Basmati Rice","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is olive oil available?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Olive Oil","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check whether Greek yogurt is in stock.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Greek Yogurt","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Do you have cheddar cheese?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Cheddar Cheese","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is orange juice available today?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Orange Juice","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check if chicken breast is in stock.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Chicken Breast","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Can I buy mineral water right now?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Mineral Water","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is ground coffee available?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Ground Coffee","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check whether frozen peas are in stock.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Frozen Peas","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Do you have tomato sauce available?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Tomato Sauce","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is butter currently in stock?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Butter","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check if spaghetti is available.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Spaghetti","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Can I get black tea?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Black Tea","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Is ice cream in stock?","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Ice Cream","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Check whether apples are available.","PRODUCT","CHECK","CHECK_AVAILABILITY","merchant_search","hybrid","Apples","","","","","","","","false","false","false","CHECK_PRODUCT_AVAILABILITY","single","CHECK_PRODUCT_AVAILABILITY","1","merchant_search"
"Find REWE.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","REWE","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for Lidl.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Lidl","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me Aldi stores.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Aldi","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Look for EDEKA.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","EDEKA","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find a Kaufland store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Kaufland","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for Penny.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Penny","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me Netto stores.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Netto","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find a dm store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","dm","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for Rossmann.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Rossmann","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me a supermarket.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Supermarket","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find a grocery store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Grocery Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for a discount supermarket.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Discount Supermarket","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me an organic grocery store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Organic Grocery Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find an Asian grocery store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Asian Grocery Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for a Turkish supermarket.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Turkish Supermarket","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me a convenience store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Convenience Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find a farmers' market.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Farmers' Market","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Search for a wholesale grocery store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Wholesale Grocery Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me a beverage store.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Beverage Store","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Find a bakery shop.","MERCHANT","SEARCH","SEARCH","merchant_api","hybrid","","Bakery","","","","","","","false","false","false","SEARCH_MERCHANT","single","SEARCH_MERCHANT","1","merchant_api"
"Show me supermarkets near me.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Supermarket","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find the nearest grocery store.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Grocery Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Which Lidl is close to me?","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Lidl","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show REWE stores nearby.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","REWE","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find an Aldi around here.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Aldi","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Which EDEKA is nearest?","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","EDEKA","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show me nearby discount supermarkets.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Discount Supermarket","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find grocery shops in my area.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Grocery Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show stores close to my current location.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Grocery Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find a nearby organic market.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Organic Market","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Which supermarket is closest?","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Supermarket","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show me convenience stores around me.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Convenience Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find a bakery near me.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Bakery","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show nearby beverage stores.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Beverage Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find the closest Kaufland.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Kaufland","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Which Penny stores are around here?","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Penny","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show me nearby farmers' markets.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Farmers' Market","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find a dm close to me.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","dm","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show Rossmann stores in the area.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Rossmann","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Find the nearest Asian grocery store.","MERCHANT","SEARCH","NEARBY","merchant_api","hybrid","","Asian Grocery Store","","","","","CURRENT_LOCATION","1500","false","false","false","SEARCH_NEARBY_MERCHANTS","single","SEARCH_NEARBY_MERCHANTS","1","merchant_api"
"Show me details for REWE.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","REWE","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Tell me about this Lidl store.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Lidl","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Give me information about Aldi.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Aldi","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show the store profile for EDEKA.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","EDEKA","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Tell me more about Kaufland.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Kaufland","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Display details for Penny.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Penny","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show information about Netto.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Netto","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Give me the details for dm.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","dm","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Tell me about Rossmann.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Rossmann","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show the profile of this supermarket.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Give me general information about the store.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show the store description.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show me the facilities at this store.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Tell me which services this supermarket has.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show me the store's basic information.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Give me an overview of this merchant.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Merchant","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Tell me more about this grocery shop.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Grocery Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Show the merchant profile.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Merchant","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Display the store details.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"Give me information about this market.","MERCHANT","SHOW","DETAILS","merchant_api","hybrid","","Selected Market","","","","","","","false","false","false","SHOW_MERCHANT_DETAILS","single","SHOW_MERCHANT_DETAILS","1","merchant_api"
"When does REWE open?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","REWE","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"What time does Lidl close?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Lidl","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Show me Aldi's opening hours.","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Aldi","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Is EDEKA open now?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","EDEKA","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"When is Kaufland open?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Kaufland","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"What are Penny's hours today?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Penny","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Show me Netto's business hours.","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Netto","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Is dm open on Sunday?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","dm","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"When does Rossmann close today?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Rossmann","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"What time does this supermarket open?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Is the grocery store open right now?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Grocery Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Show me the store hours for tomorrow.","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"When does this market close?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Market","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"What are the weekend opening hours?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Is this shop open on Saturday?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Shop","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Show me today's opening times.","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"When can I visit this store?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"What time is the supermarket open until?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Is the store open this evening?","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Show me the holiday opening hours.","MERCHANT","SHOW","OPENING_HOURS","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_OPENING_HOURS","single","SHOW_MERCHANT_OPENING_HOURS","1","merchant_api"
"Give me REWE's phone number.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","REWE","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"How can I contact Lidl?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Lidl","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me Aldi's contact details.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Aldi","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"What is EDEKA's phone number?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","EDEKA","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Give me Kaufland's email address.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Kaufland","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me Penny's contact information.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Penny","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"How do I reach Netto?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Netto","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Give me the phone number for dm.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","dm","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me Rossmann's email address.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Rossmann","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"What is this supermarket's contact number?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Give me the store's email.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me the customer service number.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"How can I get in touch with this store?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Display the merchant's contact details.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Merchant","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"What phone number does this shop use?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Shop","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Give me the contact information for this market.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Market","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me the store's telephone number.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Store","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"How do I contact the grocery store?","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Grocery Store","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Give me the merchant's email.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Merchant","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Show me a way to contact this supermarket.","MERCHANT","SHOW","CONTACT","merchant_api","hybrid","","Selected Supermarket","","","","","","","false","false","false","SHOW_MERCHANT_CONTACT","single","SHOW_MERCHANT_CONTACT","1","merchant_api"
"Plan a route to REWE.","NAVIGATION","ROUTE","ROUTE","maps_tool","navigation","","REWE","","","","","CURRENT_LOCATION","","false","false","false","ROUTE_TO_MERCHANT","single","ROUTE_TO_MERCHANT","1","maps_tool"
"Start a route to Lidl.","NAVIGATION","ROUTE","ROUTE","maps_tool","navigation","","Lidl","","","","","CURRENT_LOCATION","","false","false","false","ROUTE_TO_MERCHANT","single","ROUTE_TO_MERCHANT","1","maps_tool"
"Route me to Aldi.","NAVIGATION","ROUTE","ROUTE","maps_tool","navigation","","Aldi","","","","","CURRENT_LOCATION","","false","false","false","ROUTE_TO_MERCHANT","single","ROUTE_TO_MERCHANT","1","maps_tool"
